Postal Code,Place Name,State,State Abbreviation,Latitude,Longitude
80904,Johor Bahru,Johor,JHR,1.4634,103.7547
80906,Johor Bahru,Johor,JHR,1.4634,103.7547
80908,Johor Bahru,Johor,JHR,1.4634,103.7547
80988,Johor Bahru,Johor,JHR,1.4634,103.7547
80990,Johor Bahru,Johor,JHR,1.4634,103.7547
81000,Kulai,Johor,JHR,1.7259,103.5011
81100,Johor Bahru,Johor,JHR,1.5495,103.708
81200,Johor Bahru,Johor,JHR,1.5249,103.6874
81300,Johor Bahru,Johor,JHR,1.5427,103.6487
81310,Johor Bahru,Johor,JHR,1.5107,103.6984
81400,Senai,Johor,JHR,1.6446,103.5973
81440,Bandar Tenggara,Johor,JHR,1.7876,103.6699
81450,Gugusan Taib Andak,Johor,JHR,1.7601,103.6852
81500,Sungai Mati,Johor,JHR,1.5141,103.7014
81550,Gelang Patah,Johor,JHR,1.4619,103.5857
81600,Pengerang,Johor,JHR,1.4656,103.9435
81700,Pasir Gudang,Johor,JHR,1.5002,103.8273
81750,Masai,Johor,JHR,1.5558,103.7616
81800,Ulu Tiram,Johor,JHR,1.6728,103.6325
81850,Layang-Layang,Johor,JHR,1.7832,103.4388
81900,Kota Tinggi,Johor,JHR,1.7427,103.7788
81920,Ayer Tawar 3,Johor,JHR,1.721,103.8967
81930,Bandar Penawar,Johor,JHR,1.6712,103.9725
82000,Pontian,Johor,JHR,1.5666,103.3873
82100,Ayer Baloi,Johor,JHR,1.6927,103.2524
82200,Benut,Johor,JHR,1.6864,103.2713
82300,Kukup,Johor,JHR,1.423,103.4425
83000,Batu Pahat,Johor,JHR,1.8578,103.0357
83100,Rengit,Johor,JHR,1.664,103.2453
83200,Senggarang,Johor,JHR,1.8138,103.0467
83300,Seri Gading,Johor,JHR,1.8197,103.2399
83400,Sri Medan,Johor,JHR,1.5084,103.7136
83500,Parit Sulong,Johor,JHR,1.9663,102.9015
83600,Semerah,Johor,JHR,1.9075,102.8813
83700,Yong Peng,Johor,JHR,1.9139,103.1326
84000,Muar,Johor,JHR,2.0051,102.7335
84150,Parit Jawa,Johor,JHR,1.9152,102.8197
84200,Muar,Johor,JHR,2.0102,102.6981
84300,Bukit Pasir,Johor,JHR,2.1122,102.7617
84400,Sungai Mati,Johor,JHR,2.0749,102.7197
84500,Panchor,Johor,JHR,2.0423,102.9538
84600,Pagoh,Johor,JHR,2.087,102.8871
84700,Gerisek,Johor,JHR,2.215,102.7854
84800,Bukit Gambir,Johor,JHR,2.1437,102.8537
84900,Tangkak,Johor,JHR,2.1462,102.7848
85000,Segamat,Johor,JHR,2.3134,102.9786
85100,Batu Anam,Johor,JHR,2.4247,102.8497
85200,Jementah,Johor,JHR,2.1737,102.9493
85300,Labis,Johor,JHR,2.2604,103.5458
85400,Chaah,Johor,JHR,2.0491,103.1443
86000,Kluang,Johor,JHR,1.9226,103.4038
86100,Ayer Hitam,Johor,JHR,1.9032,103.2165
86200,Simpang Rengam,Johor,JHR,1.881,103.3957
86300,Rengam,Johor,JHR,1.8498,103.3555
86400,Parit Raja,Johor,JHR,1.8605,103.1004
86500,Bekok,Johor,JHR,2.1332,103.4663
86600,Paloh,Johor,JHR,2.1593,103.507
86700,Kahang,Johor,JHR,2.1504,103.5336
86800,Mersing,Johor,JHR,2.3043,103.7599
86810,Mersing,Johor,JHR,2.4361,103.8312
86900,Endau,Johor,JHR,2.5415,103.542
05000,Alor Setar,Kedah,KDH,6.1063,100.3685
05050,Alor Setar,Kedah,KDH,6.0141,100.3832
05100,Alor Setar,Kedah,KDH,6.1272,100.3698
05150,Alor Setar,Kedah,KDH,6.0901,100.3692
05200,Alor Setar,Kedah,KDH,6.0276,100.3989
05250,Alor Setar,Kedah,KDH,6.0976,100.3864
05300,Alor Setar,Kedah,KDH,6.0907,100.3819
05350,Alor Star,Kedah,KDH,6.1194,100.3677
05400,Alor Star,Kedah,KDH,6.1162,100.3703
05460,Alor Star,Kedah,KDH,6.1194,100.3677
05500,Alor Setar,Kedah,KDH,6.1194,100.3677
05502,Alor Setar,Kedah,KDH,6.1194,100.3677
05503,Alor Setar,Kedah,KDH,6.1194,100.3677
05504,Alor Setar,Kedah,KDH,6.1194,100.3677
05505,Alor Setar,Kedah,KDH,6.1194,100.3677
05506,Alor Setar,Kedah,KDH,6.1194,100.3677
05508,Alor Setar,Kedah,KDH,6.1194,100.3677
05512,Alor Setar,Kedah,KDH,6.1194,100.3677
05514,Alor Setar,Kedah,KDH,6.1194,100.3677
05516,Alor Setar,Kedah,KDH,6.1194,100.3677
05517,Alor Setar,Kedah,KDH,5.6425,100.4883
05518,Alor Setar,Kedah,KDH,6.1194,100.3677
05520,Alor Setar,Kedah,KDH,6.1194,100.3677
05532,Alor Setar,Kedah,KDH,6.1194,100.3677
05534,Alor Setar,Kedah,KDH,6.1194,100.3677
05536,Alor Setar,Kedah,KDH,6.1194,100.3677
05538,Alor Setar,Kedah,KDH,6.1194,100.3677
05550,Alor Setar,Kedah,KDH,6.1194,100.3677
05551,Alor Setar,Kedah,KDH,6.1194,100.3677
05552,Alor Setar,Kedah,KDH,6.1194,100.3677
05556,Alor Setar,Kedah,KDH,6.1194,100.3677
05558,Alor Setar,Kedah,KDH,6.1194,100.3677
05560,Alor Setar,Kedah,KDH,6.1194,100.3677
05564,Alor Setar,Kedah,KDH,6.1194,100.3677
05576,Alor Setar,Kedah,KDH,6.1194,100.3677
05578,Alor Setar,Kedah,KDH,6.1194,100.3677
05580,Alor Setar,Kedah,KDH,6.2434,100.2418
05582,Alor Setar,Kedah,KDH,6.2434,100.2418
05586,Alor Setar,Kedah,KDH,6.1194,100.3677
05590,Alor Setar,Kedah,KDH,6.1194,100.3677
05592,Alor Setar,Kedah,KDH,6.1194,100.3677
05594,Alor Setar,Kedah,KDH,6.1194,100.3677
05600,Alor Setar,Kedah,KDH,6.1194,100.3677
05604,Alor Setar,Kedah,KDH,6.1194,100.3677
05610,Alor Setar,Kedah,KDH,6.1194,100.3677
05612,Alor Setar,Kedah,KDH,5.7945,100.371
05614,Alor Setar,Kedah,KDH,6.1194,100.3677
05620,Alor Setar,Kedah,KDH,6.13,100.3665
05621,Alor Setar,Kedah,KDH,6.1194,100.3677
05622,Alor Setar,Kedah,KDH,6.1194,100.3677
05626,Alor Setar,Kedah,KDH,6.1194,100.3677
05628,Alor Setar,Kedah,KDH,6.1194,100.3677
05630,Alor Setar,Kedah,KDH,6.1201,100.3918
05632,Alor Setar,Kedah,KDH,6.1643,100.5356
05644,Alor Setar,Kedah,KDH,6.1194,100.3677
05660,Alor Setar,Kedah,KDH,6.1194,100.3677
05661,Alor Setar,Kedah,KDH,6.1194,100.3677
05664,Alor Setar,Kedah,KDH,6.1194,100.3677
05670,Alor Setar,Kedah,KDH,6.1194,100.3677
05672,Alor Setar,Kedah,KDH,6.1194,100.3677
05673,Alor Setar,Kedah,KDH,6.1194,100.3677
05674,Alor Setar,Kedah,KDH,6.1179,100.3674
05675,Alor Setar,Kedah,KDH,6.1194,100.3677
05676,Alor Setar,Kedah,KDH,6.1194,100.3677
05680,Alor Setar,Kedah,KDH,6.1194,100.3677
05690,Alor Setar,Kedah,KDH,6.1194,100.3677
05696,Alor Setar,Kedah,KDH,6.1194,100.3677
05700,Alor Setar,Kedah,KDH,6.1194,100.3677
05710,Alor Setar,Kedah,KDH,6.1194,100.3677
05720,Alor Setar,Kedah,KDH,6.1194,100.3677
05990,Alor Setar,Kedah,KDH,6.1194,100.3677
06000,Jitra,Kedah,KDH,6.1316,100.4351
06007,Jitra,Kedah,KDH,6.2663,100.4271
06009,Jitra,Kedah,KDH,6.2663,100.4271
06010,Universiti Utara Malaysia,Kedah,KDH,6.4574,100.506
06050,Bukit Kayu Hitam,Kedah,KDH,6.3493,100.4429
06100,Kodiang,Kedah,KDH,6.2045,100.3746
06150,Ayer Hitam,Kedah,KDH,6.1893,100.2859
06200,Kepala Batas,Kedah,KDH,5.9661,100.4734
06207,Kepala Batas,Kedah,KDH,6.2017,100.4128
06209,Kepala Batas,Kedah,KDH,6.2017,100.4128
06250,Alor Star,Kedah,KDH,5.875,100.3757
06300,Kuala Nerang,Kedah,KDH,6.1461,100.5833
06350,Pokok Sena,Kedah,KDH,6.1542,100.5613
06400,Pokok Sena,Kedah,KDH,6.0432,100.5221
06500,Langgar,Kedah,KDH,6.0479,100.407
06507,Langgar,Kedah,KDH,6.1237,100.4445
06509,Langgar,Kedah,KDH,6.1237,100.4445
06550,Alor Star,Kedah,KDH,6.1194,100.3677
06570,Alor Setar,Kedah,KDH,5.9419,100.4272
06600,Kuala Kedah,Kedah,KDH,5.9919,100.3635
06650,Simpang Empat,Kedah,KDH,6.013,100.4018
06660,Alor Setar,Kedah,KDH,6.0167,100.4
06700,Pendang,Kedah,KDH,5.9623,100.472
06707,Pendang,Kedah,KDH,5.9825,100.4594
06709,Pendang,Kedah,KDH,5.9825,100.4594
06710,Pendang,Kedah,KDH,5.9936,100.5418
06720,Pendang,Kedah,KDH,5.9352,100.4749
06750,Pendang,Kedah,KDH,5.9562,100.4823
06800,Kota Sarang Semut,Kedah,KDH,5.9008,100.4089
06900,Yan,Kedah,KDH,5.8366,100.4039
06910,Yan,Kedah,KDH,5.8336,100.3925
07000,Langkawi,Kedah,KDH,6.2439,99.9533
07007,Langkawi,Kedah,KDH,6.3233,99.8547
07009,Langkawi,Kedah,KDH,6.3233,99.8547
08000,Sungai Petani,Kedah,KDH,5.6639,100.4902
08007,Sungai Petani,Kedah,KDH,5.649,100.4951
08009,Sungai Petani,Kedah,KDH,5.649,100.4951
08010,Sungai Petani,Kedah,KDH,5.7166,100.5062
08100,Bedong,Kedah,KDH,5.7879,100.4719
08110,Bedong,Kedah,KDH,5.6793,100.4423
08200,Sik,Kedah,KDH,5.8207,100.6951
08210,Sik,Kedah,KDH,5.9359,100.7472
08300,Gurun,Kedah,KDH,5.8064,100.5136
08320,Jeniang,Kedah,KDH,5.8343,100.6252
08330,Gurun,Kedah,KDH,5.8013,100.5175
08340,Sik,Kedah,KDH,5.8969,100.6685
08400,Merbok,Kedah,KDH,5.7262,100.4529
08407,Merbok,Kedah,KDH,5.7246,100.3688
08409,Merbok,Kedah,KDH,5.7246,100.3688
08500,Kota Kuala Muda,Kedah,KDH,5.7405,100.4243
08507,Kota Kuala Muda,Kedah,KDH,5.6454,100.3551
08509,Kota Kuala Muda,Kedah,KDH,5.6454,100.3551
08600,Sungai Petani,Kedah,KDH,5.7803,100.5201
08700,Jeniang,Kedah,KDH,5.8761,100.6146
08800,Gurun,Kedah,KDH,5.7896,100.5238
09000,Kulim,Kedah,KDH,5.4724,100.5385
09007,Kulim,Kedah,KDH,5.3894,100.5634
09009,Kulim,Kedah,KDH,5.3894,100.5634
09010,Kulim,Kedah,KDH,5.5956,100.6129
09020,Kulim,Kedah,KDH,5.5494,100.5186
09100,Baling,Kedah,KDH,5.7229,100.7831
09110,Kuala Pegang,Kedah,KDH,5.7874,100.6923
09200,Kupang,Kedah,KDH,5.6818,100.758
09300,Kuala Ketil,Kedah,KDH,5.6747,100.6754
09310,Kuala Ketil,Kedah,KDH,5.5849,100.7507
09400,Padang Serai,Kedah,KDH,5.5331,100.5534
09410,Padang Serai,Kedah,KDH,5.6077,100.6056
09600,Lunas,Kedah,KDH,5.5071,100.5589
09700,Karangan,Kedah,KDH,5.5748,100.6005
09800,Serdang,Kedah,KDH,5.4765,100.5938
09810,Serdang,Kedah,KDH,5.3649,100.6151
14290,Bandar Bahru,Kedah,KDH,5.6564,100.5422
14390,Bandar Bahru,Kedah,KDH,5.5104,100.5394
34950,Bandar Baharu,Kedah,KDH,5.1873,100.5156
15000,Kota Bharu,Kelantan,KTN,6.1253,102.2461
15050,Kota Bharu,Kelantan,KTN,6.1212,102.2459
15100,Kota Bharu,Kelantan,KTN,6.0706,102.2458
15150,Kota Bharu,Kelantan,KTN,6.1187,102.2508
15159,Kota Bharu,Kelantan,KTN,6.122,102.2523
15200,Kota Bharu,Kelantan,KTN,6.105,102.251
15300,Kota Bharu,Kelantan,KTN,6.1159,102.2452
15350,Kota Bharu,Kelantan,KTN,6.1118,102.249
15400,Kota Bharu,Kelantan,KTN,6.1185,102.2489
15500,Kota Bharu,Kelantan,KTN,6.122,102.2523
15502,Kota Bharu,Kelantan,KTN,6.122,102.2523
15503,Kota Bharu,Kelantan,KTN,6.122,102.2523
15504,Kota Bharu,Kelantan,KTN,6.122,102.2523
15505,Kota Bharu,Kelantan,KTN,6.122,102.2523
15506,Kota Bharu,Kelantan,KTN,6.122,102.2523
15508,Kota Bharu,Kelantan,KTN,6.122,102.2523
15512,Kota Bharu,Kelantan,KTN,6.122,102.2523
15514,Kota Bharu,Kelantan,KTN,6.122,102.2523
15516,Kota Bharu,Kelantan,KTN,6.122,102.2523
15517,Kota Bharu,Kelantan,KTN,6.122,102.2523
15518,Kota Bharu,Kelantan,KTN,6.122,102.2523
15519,Kota Bharu,Kelantan,KTN,5.8081,102.1509
15520,Kota Bharu,Kelantan,KTN,6.122,102.2523
15524,Kota Bharu,Kelantan,KTN,6.122,102.2523
15529,Kota Bharu,Kelantan,KTN,6.122,102.2523
15532,Kota Bharu,Kelantan,KTN,6.122,102.2523
15534,Kota Bharu,Kelantan,KTN,6.122,102.2523
15536,Kota Bharu,Kelantan,KTN,6.122,102.2523
15538,Kota Bharu,Kelantan,KTN,6.122,102.2523
15540,Kota Bharu,Kelantan,KTN,6.122,102.2523
15546,Kota Bharu,Kelantan,KTN,6.122,102.2523
15548,Kota Bharu,Kelantan,KTN,6.122,102.2523
15550,Kota Bharu,Kelantan,KTN,6.122,102.2523
15551,Kota Bharu,Kelantan,KTN,5.8092,102.1515
15556,Kota Bharu,Kelantan,KTN,6.122,102.2523
15558,Kota Bharu,Kelantan,KTN,6.122,102.2523
15560,Kota Bharu,Kelantan,KTN,6.122,102.2523
15564,Kota Bharu,Kelantan,KTN,6.1093,102.2382
15570,Kota Bharu,Kelantan,KTN,6.122,102.2523
15572,Kota Bharu,Kelantan,KTN,6.122,102.2523
15576,Kota Bharu,Kelantan,KTN,6.122,102.2523
15578,Kota Bharu,Kelantan,KTN,6.122,102.2523
15582,Kota Bharu,Kelantan,KTN,6.122,102.2523
15586,Kota Bharu,Kelantan,KTN,6.1237,102.2468
15590,Kota Bharu,Kelantan,KTN,6.122,102.2523
15592,Kota Bharu,Kelantan,KTN,6.122,102.2523
15594,Kota Bharu,Kelantan,KTN,6.122,102.2523
15596,Kota Bharu,Kelantan,KTN,6.122,102.2523
15600,Kota Bharu,Kelantan,KTN,6.1303,102.2369
15604,Kota Bharu,Kelantan,KTN,6.122,102.2523
15608,Kota Bharu,Kelantan,KTN,5.9453,102.2339
15609,Kota Bharu,Kelantan,KTN,6.122,102.2523
15612,Kota Bharu,Kelantan,KTN,5.826,102.225
15614,Kota Bharu,Kelantan,KTN,6.122,102.2523
15616,Kota Bharu,Kelantan,KTN,6.1152,102.2414
15622,Kota Bharu,Kelantan,KTN,6.122,102.2523
15623,Kota Bharu,Kelantan,KTN,6.122,102.2523
15626,Kota Bharu,Kelantan,KTN,6.122,102.2523
15628,Kota Bharu,Kelantan,KTN,6.119,102.3573
15630,Kota Bharu,Kelantan,KTN,6.1996,102.1696
15632,Kota Bharu,Kelantan,KTN,6.1012,102.2653
15634,Kota Bharu,Kelantan,KTN,6.122,102.2523
15644,Kota Bharu,Kelantan,KTN,6.122,102.2523
15646,Kota Bharu,Kelantan,KTN,6.122,102.2523
15648,Kota Bharu,Kelantan,KTN,6.122,102.2523
15658,Kota Bharu,Kelantan,KTN,6.122,102.2523
15660,Kota Bharu,Kelantan,KTN,6.122,102.2523
15661,Kota Bharu,Kelantan,KTN,6.122,102.2523
15664,Kota Bharu,Kelantan,KTN,6.122,102.2523
15670,Kota Bharu,Kelantan,KTN,6.122,102.2523
15672,Kota Bharu,Kelantan,KTN,6.122,102.2523
15673,Kota Bharu,Kelantan,KTN,6.1292,102.2387
15674,Kota Bharu,Kelantan,KTN,6.122,102.2523
15676,Kota Bharu,Kelantan,KTN,6.122,102.2523
15680,Kota Bharu,Kelantan,KTN,6.122,102.2523
15690,Kota Bharu,Kelantan,KTN,6.122,102.2523
15710,Kota Bharu,Kelantan,KTN,6.122,102.2523
15720,Kota Bharu,Kelantan,KTN,6.122,102.2492
15730,Kota Bharu,Kelantan,KTN,6.122,102.2523
15740,Kota Bharu,Kelantan,KTN,6.122,102.2523
15988,Kota Bharu,Kelantan,KTN,6.122,102.2523
15990,Kota Bharu,Kelantan,KTN,6.122,102.2523
16010,Kota Bharu,Kelantan,KTN,6.0064,102.218
16020,Bachok,Kelantan,KTN,6.0558,102.3487
16030,Bachok,Kelantan,KTN,6.0547,102.3868
16040,Wakaf Bharu,Kelantan,KTN,6.0573,102.1743
16050,Bachok,Kelantan,KTN,6.032,102.3251
16060,Bachok,Kelantan,KTN,6.0547,102.3868
16070,Bachok,Kelantan,KTN,6.0334,102.3499
16080,Tumpat,Kelantan,KTN,6.1411,102.1763
16090,Bachok,Kelantan,KTN,6.0338,102.3572
16100,Kota Bahru,Kelantan,KTN,6.122,102.2523
16109,Kota Bharu,Kelantan,KTN,6.122,102.2523
16150,Kota Bharu,Kelantan,KTN,6.0602,102.2341
16200,Tumpat,Kelantan,KTN,6.1174,102.1685
16210,Tumpat,Kelantan,KTN,6.1183,102.1386
16250,Wakaf Bharu,Kelantan,KTN,6.0864,102.2099
16300,Bachok,Kelantan,KTN,6.0269,102.3366
16310,Bachok,Kelantan,KTN,5.9932,102.3636
16320,Bachok,Kelantan,KTN,6.0547,102.3868
16400,Melor,Kelantan,KTN,5.92,102.2742
16450,Ketereh,Kelantan,KTN,5.9179,102.2274
16500,Kem Desa Pahlawan,Kelantan,KTN,5.8938,102.2273
16600,Pulai Chondong,Kelantan,KTN,5.8908,102.2376
16700,Cherang Ruku,Kelantan,KTN,5.8722,102.4363
16800,Pasir  Puteh,Kelantan,KTN,5.876,102.3841
16810,Selising,Kelantan,KTN,5.8899,102.2958
17000,Pasir Mas,Kelantan,KTN,6.0129,102.1459
17007,Pasir Mas,Kelantan,KTN,6.0427,102.1391
17009,Pasir Mas,Kelantan,KTN,6.0427,102.1391
17010,Pasir Mas,Kelantan,KTN,6.0377,102.1486
17020,Pasir Mas,Kelantan,KTN,6.0403,102.1465
17030,Pasir Mas,Kelantan,KTN,5.8931,102.1712
17040,Pasir Mas,Kelantan,KTN,6.0284,102.1551
17050,Pasir Mas,Kelantan,KTN,5.961,102.1484
17060,Pasir Mas,Kelantan,KTN,6.0061,102.1743
17070,Pasir Mas,Kelantan,KTN,6.0102,102.1486
17200,Rantau Panjang,Kelantan,KTN,5.9632,102.0073
17500,Tanah Merah,Kelantan,KTN,5.7687,102.1201
17507,Tanah Merah,Kelantan,KTN,5.8074,102.151
17509,Tanah Merah,Kelantan,KTN,5.8074,102.151
17510,Tanah Merah,Kelantan,KTN,5.7657,102.1153
17600,Jeli,Kelantan,KTN,5.728,101.9225
17610,Kuala Balah,Kelantan,KTN,5.4526,101.9212
17700,Ayer Lanas,Kelantan,KTN,5.8142,101.9253
18000,Kuala Krai,Kelantan,KTN,5.5693,102.1786
18050,Kuala Krai,Kelantan,KTN,5.5339,102.1996
18200,Dabong,Kelantan,KTN,5.4938,102.0523
18300,Gua Musang,Kelantan,KTN,5.0356,102.0247
18400,Temangan,Kelantan,KTN,5.7612,102.1769
18500,Machang,Kelantan,KTN,5.7573,102.2168
50000,Kuala Lumpur,Kuala Lumpur,KUL,3.1433,101.6955
50050,Kuala Lumpur,Kuala Lumpur,KUL,3.1451,101.6945
50088,Kuala Lumpur,Kuala Lumpur,KUL,3.1479,101.7008
50100,Kuala Lumpur,Kuala Lumpur,KUL,3.1513,101.6947
50150,Kuala Lumpur,Kuala Lumpur,KUL,3.1406,101.6955
50200,Kuala Lumpur,Kuala Lumpur,KUL,3.1447,101.7007
50250,Kuala Lumpur,Kuala Lumpur,KUL,3.1447,101.6951
50300,Kuala Lumpur,Kuala Lumpur,KUL,3.1841,101.6911
50350,Kuala Lumpur,Kuala Lumpur,KUL,3.1512,101.6956
50400,Kuala Lumpur,Kuala Lumpur,KUL,3.149,101.697
50450,Kuala Lumpur,Kuala Lumpur,KUL,3.1512,101.7091
50460,Kuala Lumpur,Kuala Lumpur,KUL,3.1365,101.6941
50470,Kuala Lumpur,Kuala Lumpur,KUL,3.134,101.6873
50480,Kuala Lumpur,Kuala Lumpur,KUL,3.163,101.6753
50490,Kuala Lumpur,Kuala Lumpur,KUL,3.1466,101.6673
50500,Kuala Lumpur,Kuala Lumpur,KUL,3.1325,101.6957
50502,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50504,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50505,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50506,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50507,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50508,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50512,Kuala Lumpur,Kuala Lumpur,KUL,3.1503,101.6924
50514,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50515,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50519,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50528,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50529,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50530,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50532,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50534,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50536,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50540,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50544,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50546,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50548,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50550,Kuala Lumpur,Kuala Lumpur,KUL,3.1466,101.6636
50551,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50552,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50554,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
50556,Kuala Lumpur,Kuala Lumpur,KUL,3.139,101.6869
